H	1.008	25	53	2.2	73	None	None	None	72.8	1	1	13.59844	None	None	None	None	1
Li	6.914	145	167	0.98	60	None	None	None	59.6	1	2	5.39172	180.5	1342	432	0.534	3
Be	9.012	105	112	1.57	None	45	None	None	-50	2	2	9.3227	1287	2471	876	1.85	4
B	10.81	85	87	2.04	27	None	27	None	26.7	13	2	8.29803	None	None	None	None	5
C	12.01	70	67	2.55	122	None	None	None	121.9	14	2	11.2603	None	None	None	None	6
N	14.01	65	56	3.04	7	None	16	None	-7	15	2	14.53414	None	None	None	None	7
O	16	60	48	3.44	141	None	None	140	141	16	2	13.61806	None	None	None	None	8
F	19	50	42	3.98	328	None	None	None	328	17	2	17.42282	None	None	None	None	9
Na	22.99	180	190	0.93	53	None	None	None	52.9	1	3	5.13908	97.79	882.94	113.1	0.97	11
Mg	24.31	150	145	1.31	None	72	None	None	-39	2	3	7.64624	650	1090	348.9	1.74	12
Al	26.98	125	118	1.61	42	None	53.3	None	42.6	13	3	5.98577	660.32	2519	399.9	2.7	13
Si	28.09	110	111	1.9	134	None	None	None	133.6	14	3	8.15169	None	None	None	None	14
P	30.97	100	98	2.19	72	None	44	None	72	15	3	10.48669	None	None	None	None	15
S	32.07	100	88	2.58	200	None	None	184	200.4	16	3	10.36001	None	None	None	None	16
Cl	35.45	100	79	3.16	349	None	None	None	349	17	3	12.96764	None	None	None	None	17
K	39.1	220	243	0.82	48	None	None	None	48.4	1	4	4.34066	63.38	759	59.6	0.89	19
Ca	40.08	180	194	1	2	100	None	None	-29	2	4	6.11316	842	1484	213.1	1.54	20
Sc	44.96	160	184	1.36	18	None	74.5	None	18.1	3	4	6.5615	1541	2836	314	2.99	21
Ti	47.88	140	176	1.54	8	86	67	None	7.6	4	4	6.8281	1670	3287	295.6	4.51	22
V	50.94	135	171	1.63	51	79	64	None	50.7	5	4	6.7462	1910	3407	422	6	23
Cr	52	140	166	1.66	65	73	61.5	None	64.3	6	4	6.7665	1907	2671	404	7.15	24
Mn	54.94	140	161	1.55	0	67	58	None	0	7	4	7.43402	1246	2061	235	7.3	25
Fe	55.85	140	156	1.83	15	61	55	None	15.7	8	4	7.9024	1538	2861	247.3	7.87	26
